"Date/Time","Optimal Electric Demand kWh (Student 013 > Electric Meter) [(kWh)]","Predicted Electric Demand kWh (Student 013 > Electric Meter) [(kWh)]"
"2016-04-07 01:00:00",86.75125,91.5447625
"2016-04-07 09:00:00",128.47625,137.4417
"2016-04-07 17:00:00",151.59625,167.471825
"2016-04-08 01:00:00",85.94375,93.5700125
"2016-04-08 09:00:00",132.875,139.35555
"2016-04-08 17:00:00",164.73375,177.4143875
"2016-04-09 01:00:00",86.0875,92.0085875
"2016-04-09 09:00:00",77.5275,82.2201125
"2016-04-09 17:00:00",64.955,71.46025
"2016-04-10 01:00:00",66.58375,74.7968
"2016-04-10 09:00:00",71.9325,70.63005
"2016-04-10 17:00:00",70.5675,64.571075
"2016-04-11 01:00:00",63.50125,63.6424875
"2016-04-11 09:00:00",159.2475,152.205475
"2016-04-11 17:00:00",187.04375,188.2606
"2016-04-12 01:00:00",108.5675,96.2581375
"2016-04-12 09:00:00",125.28625,132.5542125
"2016-04-12 17:00:00",140.5125,156.3487875
"2016-04-13 01:00:00",75.78625,89.0435
"2016-04-13 09:00:00",115.765,134.477725
"2016-04-13 17:00:00",128.2425,155.38375
"2016-04-14 01:00:00",80.9575,90.33845
"2016-04-14 09:00:00",118.91375,134.4862625
"2016-04-14 17:00:00",131.69625,155.6231875
"2016-04-15 01:00:00",77.54,87.847325
"2016-04-15 09:00:00",116.23125,135.1825
"2016-04-15 17:00:00",131.7125,158.1510875
"2016-04-16 01:00:00",74.57625,85.6985875
"2016-04-16 09:00:00",79.19,83.8361875
"2016-04-16 17:00:00",69.52375,91.73985
"2016-04-17 01:00:00",71.32625,80.909425
"2016-04-17 09:00:00",75.2875,71.5235625
"2016-04-17 17:00:00",75.91875,65.447675
"2016-04-18 01:00:00",70.87375,68.95245
"2016-04-18 09:00:00",120.0575,137.396575
"2016-04-18 17:00:00",145.215,167.6982375
"2016-04-19 01:00:00",79.85625,91.1344125
"2016-04-19 09:00:00",129.5275,138.997575
"2016-04-19 17:00:00",174.84,183.0891375
"2016-04-20 01:00:00",89.65125,93.570175
"2016-04-20 09:00:00",115.095,132.2861125
"2016-04-20 17:00:00",126.80625,156.9013
"2016-04-21 01:00:00",80.0975,95.6312625
"2016-04-21 09:00:00",134.12375,136.44905
"2016-04-21 17:00:00",152.72,169.2901125
"2016-04-22 01:00:00",87.71,93.7873125
"2016-04-22 09:00:00",140.095,141.186425
"2016-04-22 17:00:00",165.6125,174.2535
"2016-04-23 01:00:00",84.5175,88.7955875
"2016-04-23 09:00:00",73.2325,75.86845
"2016-04-23 17:00:00",70.32875,79.963225
"2016-04-24 01:00:00",68.82875,70.142875
"2016-04-24 09:00:00",69.05375,69.447275
"2016-04-24 17:00:00",71.97375,65.3497625
"2016-04-25 01:00:00",70.29625,70.646875
"2016-04-25 09:00:00",130.35,145.5602625
"2016-04-25 17:00:00",156.24625,170.519425
"2016-04-26 01:00:00",84.21875,91.379975
"2016-04-26 09:00:00",117.5975,134.7151375
"2016-04-26 17:00:00",129.8175,154.24105
"2016-04-27 01:00:00",77.84625,89.2561875
"2016-04-27 09:00:00",115.26625,134.4574375
"2016-04-27 17:00:00",128.87125,146.1606625
"2016-04-28 01:00:00",75.005,82.0496625
"2016-04-28 09:00:00",121.6375,138.1446875
"2016-04-28 17:00:00",140.44375,156.707975
"2016-04-29 01:00:00",76.53875,86.1829125
"2016-04-29 09:00:00",140.5325,148.3733875
"2016-04-29 17:00:00",181.05625,184.188625
"2016-04-30 01:00:00",92.4725,95.0519125
